Title,star-sum,product-price__regular,product sell price,Description,image,Category
,,,,,,Notebook
"Apple MacBook Pro 16"" - Space Grau 2019 CZ0XZ-11010 i9 2,4GHz, 32GB RAM, 512GB SSD, Radeon Pro 5500M, macOS - Touch Bar",-7,"2.999,00 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 4096 MB Grafik
 32 GB RAM | 512 GB SSD
 macOS | Grau | 2 kg",https://media.nbb-cdn.de/images/products/640000/640364/MacBook_Pro16.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Space Grau 2019 CZ0Y0-02010 i9 2,3GHz, 64GB RAM, 1TB SSD, Radeon Pro 5500M (8GB), macOS - Touch Bar",-7,"3.849,00 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 8192 MB Grafik
 64 GB RAM | 1000 GB SSD
 macOS | Grau | 2 kg",https://media.nbb-cdn.de/images/products/640000/641649/MacBook_Pro16.jpg?size=2800,Notebook
,,,,,,Notebook
"Lenovo ThinkPad X1 Extreme G3 20TK000NGE - 15,6"" UHD OLED Touch, Intel i9-10885H, 32GB RAM, 2TB SSD, NVIDIA GeForce GTX 1650Ti, LTE, Windows 10 Pro",0,"4.064,00 €",,"39,6 cm (15,6"") 3840 x 2160 Pixel (Ultra HD) IPS entspiegeltes Display
 Intel® Core™ i7 (10. Generation) 10750H CPU
 NVIDIA GeForce GTX 1650 Ti 4096 MB Grafik
 16 GB RAM | 512 GB SSD
 Windows 10 Pro 64 Bit | Schwarz | 1.7 kg",https://media.nbb-cdn.de/images/products/680000/681155/Lenovo_ThinkPad-X1-Extreme-G3_05.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12200 i9 2,4GHz, 64GB RAM, 2TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"4.569,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 64 GB RAM | 2000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641232/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y3-00200 i9 2,3GHz, 16GB RAM, 4TB SSD, Radeon Pro 5500M, macOS - Touch Bar",-7,"4.209,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 4096 MB Grafik
 16 GB RAM | 4000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641532/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12430 i9 2,4GHz, 64GB RAM, 8TB SSD, Radeon Pro 5600M, macOS - Touch Bar",-7,"7.779,99 €",,,https://media.nbb-cdn.de/images/products/660000/669435/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Space Grau 2019 CZ0XZ-11220 i9 2,4GHz, 32GB RAM, 2TB SSD, Radeon Pro 5500M (8GB), macOS - Touch Bar",-7,"3.999,00 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 8192 MB Grafik
 32 GB RAM | 2000 GB SSD
 macOS | Grau | 2 kg",https://media.nbb-cdn.de/images/products/640000/641604/MacBook_Pro16.jpg?size=2800,Notebook
,,,,,,Notebook
"Lenovo ThinkPad P53 20QN004Q i9, 16 GB, 512 GB, 15,6"" Ultra HD, Quadro RTX4000, Win 10 Pro",0,"2.714,99 €",,"39 cm (15,6"") 3840 x 2160 Pixel (Ultra HD) mattes Display
 Intel® Core™ i9 (9. Generation) 9880H CPU
 NVIDIA UHD Graphics 630 8192 MB Grafik
 16 GB RAM | 512 GB SSD
 Windows 10 Pro 64 Bit | Nicht spezifiziert",https://media.nbb-cdn.de/images/products/650000/654585/20QN004QDEMO_1.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10000 i9 2,4GHz, 16GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"2.919,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 16 GB RAM | 512 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641172/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10100 i9 2,4GHz, 16GB RAM, 1TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"3.149,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 16 GB RAM | 1000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641187/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10200 i9 2,4GHz, 16GB RAM, 2TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"3.629,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 16 GB RAM | 2000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641190/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10300 i9 2,4GHz, 16GB RAM, 4TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"4.309,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 16 GB RAM | 4000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641204/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10400 i9 2,4GHz, 16GB RAM, 8TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"5.759,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 16 GB RAM | 8000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641206/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-11000 i9 2,4GHz, 32GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"3.369,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 32 GB RAM | 512 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641208/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-11100 i9 2,4GHz, 32GB RAM, 1TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"3.629,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 32 GB RAM | 1000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641211/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-11200 i9 2,4GHz, 32GB RAM, 2TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"4.089,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 32 GB RAM | 2000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641214/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-11300 i9 2,4GHz, 32GB RAM, 4TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"4.779,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 32 GB RAM | 4000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641216/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-11400 i9 2,4GHz, 32GB RAM, 8TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"6.229,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 32 GB RAM | 8000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641218/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12000 i9 2,4GHz, 64GB RAM, 512GB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"3.839,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 64 GB RAM | 512 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641223/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12100 i9 2,4GHz, 64GB RAM, 1TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"4.099,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 64 GB RAM | 1000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641228/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12300 i9 2,4GHz, 64GB RAM, 4TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"5.289,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 64 GB RAM | 4000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641234/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-12400 i9 2,4GHz, 64GB RAM, 8TB SSD, Radeon Pro 5300M, macOS - Touch Bar",-7,"6.669,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5300M 4096 MB Grafik
 64 GB RAM | 8000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641236/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10010 i9 2,4GHz, 16GB RAM, 512GB SSD, Radeon Pro 5500M, macOS - Touch Bar",-7,"3.019,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 4096 MB Grafik
 16 GB RAM | 512 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641504/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
"Apple MacBook Pro 16"" - Silber 2019 CZ0Y1-10110 i9 2,4GHz, 16GB RAM, 1TB SSD, Radeon Pro 5500M, macOS - Touch Bar",-7,"3.269,99 €",,"40 cm (16"") 3072 x 1920 Pixel IPS glänzendes Display
 Intel® Core™ i9 (9. Generation) CPU
 AMD Radeon Pro 5500M 4096 MB Grafik
 16 GB RAM | 1000 GB SSD
 macOS | Silber | 2 kg",https://media.nbb-cdn.de/images/products/640000/641506/MacBook_Pro16_2.jpg?size=2800,Notebook
,,,,,,Notebook
